seed,size,p,map_type,sg_id,algo,success,edges,suboptimality,runtime_ms,expanded,generated,peak_frontier,peak_closed,peak_rss_mb,free,start_y,start_x,end_y,end_x,is_corner
313101,31x31,0.0,dense,0,JPS,0,0,,0.3307,24.0,,,24.0,0.0,449,1,1,29,29,1
313101,31x31,0.0,dense,1,A*,1,11,1.0,0.0377,16.0,20.0,5.0,16.0,0.0,449,5,27,1,20,0
313101,31x31,0.0,dense,1,Dijkstra,1,11,1.0,0.0755,36.0,41.0,6.0,36.0,0.0,449,5,27,1,20,0
313101,31x31,0.0,dense,1,DFS,1,11,1.0,0.4493,382.0,384.0,29.0,382.0,0.0,449,5,27,1,20,0
313101,31x31,0.0,dense,1,JPS,0,0,,0.1082,8.0,,,8.0,0.0,449,5,27,1,20,0
313101,31x31,0.0,dense,2,A*,1,13,1.0,0.0525,25.0,29.0,6.0,25.0,0.0,449,7,13,6,21,0
313101,31x31,0.0,dense,2,Dijkstra,1,13,1.0,0.0956,55.0,58.0,6.0,55.0,0.0,449,7,13,6,21,0
313101,31x31,0.0,dense,2,DFS,1,13,1.0,0.0283,14.0,17.0,4.0,14.0,0.0,449,7,13,6,21,0
313101,31x31,0.0,dense,2,JPS,0,0,,0.0988,9.0,,,9.0,0.0,449,7,13,6,21,0
313102,31x31,0.0,dense,0,A*,1,152,1.0,0.6084,411.0,415.0,15.0,411.0,0.0,449,1,1,29,29,1
313102,31x31,0.0,dense,0,Dijkstra,1,152,1.0,0.5561,447.0,447.0,8.0,447.0,0.0,449,1,1,29,29,1
313102,31x31,0.0,dense,0,DFS,1,152,1.0,0.3417,279.0,329.0,53.0,279.0,0.0,449,1,1,29,29,1
313102,31x31,0.0,dense,0,JPS,0,0,,0.9639,83.0,,,83.0,0.0,449,1,1,29,29,1
313102,31x31,0.0,dense,1,A*,1,107,1.0,0.5753,391.0,393.0,14.0,391.0,0.0,449,10,23,23,3,0
313102,31x31,0.0,dense,1,Dijkstra,1,107,1.0,0.5014,398.0,402.0,10.0,398.0,0.0,449,10,23,23,3,0
313102,31x31,0.0,dense,1,DFS,1,107,1.0,0.2648,235.0,273.0,40.0,235.0,0.0,449,10,23,23,3,0
313102,31x31,0.0,dense,1,JPS,0,0,,0.8132,84.0,,,84.0,0.0,449,10,23,23,3,0
313102,31x31,0.0,dense,2,A*,1,56,1.0,0.3247,211.0,227.0,17.0,211.0,0.0,449,28,23,2,17,0
313102,31x31,0.0,dense,2,Dijkstra,1,56,1.0,0.4175,332.0,334.0,12.0,332.0,0.0,449,28,23,2,17,0
313102,31x31,0.0,dense,2,DFS,1,56,1.0,0.1225,114.0,135.0,24.0,114.0,0.0,449,28,23,2,17,0
313102,31x31,0.0,dense,2,JPS,0,0,,0.4746,46.0,,,46.0,0.0,449,28,23,2,17,0
