seed,size,p,map_type,sg_id,algo,success,edges,suboptimality,runtime_ms,expanded,generated,peak_frontier,peak_closed,peak_rss_mb,free,start_y,start_x,end_y,end_x,is_corner
313150,31x31,0.05,sparse0.05,2,DFS,1,40,1.0,0.1296,58.0,63.0,7.0,58.0,0.0,463,11,19,29,1,0
313150,31x31,0.05,sparse0.05,2,JPS,1,40,1.0,0.3829,28.0,28.0,28.0,28.0,0.0,463,11,19,29,1,0
313151,31x31,0.05,sparse0.05,0,A*,1,88,1.0,0.9812,308.0,321.0,19.0,308.0,0.0,468,1,1,29,29,1
313151,31x31,0.05,sparse0.05,0,Dijkstra,1,88,1.0,0.9197,444.0,450.0,12.0,444.0,0.0,468,1,1,29,29,1
313151,31x31,0.05,sparse0.05,0,DFS,1,92,1.0454545454545454,0.4775,251.0,280.0,40.0,251.0,0.0,468,1,1,29,29,1
313151,31x31,0.05,sparse0.05,0,JPS,1,88,1.0,1.277,75.0,75.0,75.0,75.0,0.0,468,1,1,29,29,1
313151,31x31,0.05,sparse0.05,1,A*,1,49,1.0,0.4757,194.0,210.0,17.0,194.0,0.0,468,25,11,28,29,0
313151,31x31,0.05,sparse0.05,1,Dijkstra,1,49,1.0,0.8954,437.0,443.0,16.0,437.0,0.0,468,25,11,28,29,0
313151,31x31,0.05,sparse0.05,1,DFS,1,49,1.0,0.3279,183.0,201.0,29.0,183.0,0.0,468,25,11,28,29,0
313151,31x31,0.05,sparse0.05,1,JPS,1,49,1.0,0.9667,70.0,70.0,70.0,70.0,0.0,468,25,11,28,29,0
313151,31x31,0.05,sparse0.05,2,A*,1,25,1.0,0.2198,83.0,103.0,21.0,83.0,0.0,468,23,17,11,14,0
313151,31x31,0.05,sparse0.05,2,Dijkstra,1,25,1.0,0.4,193.0,209.0,19.0,193.0,0.0,468,23,17,11,14,0
313151,31x31,0.05,sparse0.05,2,DFS,1,29,1.16,0.1118,52.0,64.0,13.0,52.0,0.0,468,23,17,11,14,0
313151,31x31,0.05,sparse0.05,2,JPS,1,25,1.0,0.4084,24.0,24.0,24.0,24.0,0.0,468,23,17,11,14,0
313152,31x31,0.05,sparse0.05,0,A*,1,68,1.0,0.3611,142.0,152.0,11.0,142.0,0.0,460,1,1,29,29,1
313152,31x31,0.05,sparse0.05,0,Dijkstra,1,68,1.0,0.5264,239.0,246.0,10.0,239.0,0.0,460,1,1,29,29,1
313152,31x31,0.05,sparse0.05,0,DFS,1,76,1.1176470588235294,0.4443,224.0,248.0,33.0,224.0,0.0,460,1,1,29,29,1
313152,31x31,0.05,sparse0.05,0,JPS,1,68,1.0,0.5635,32.0,32.0,32.0,32.0,0.0,460,1,1,29,29,1
313152,31x31,0.05,sparse0.05,1,A*,1,46,1.0,0.3736,139.0,157.0,19.0,139.0,0.0,460,26,5,8,25,0
313152,31x31,0.05,sparse0.05,1,Dijkstra,1,46,1.0,0.4981,252.0,257.0,10.0,252.0,0.0,460,26,5,8,25,0
313152,31x31,0.05,sparse0.05,1,DFS,1,60,1.3043478260869565,0.6412,360.0,372.0,31.0,360.0,0.0,460,26,5,8,25,0
313152,31x31,0.05,sparse0.05,1,JPS,1,46,1.0,0.771,59.0,59.0,59.0,59.0,0.0,460,26,5,8,25,0
313152,31x31,0.05,sparse0.05,2,A*,1,70,1.0,0.8311,330.0,334.0,12.0,330.0,0.0,460,20,13,25,10,0
313152,31x31,0.05,sparse0.05,2,Dijkstra,1,70,1.0,0.9263,458.0,459.0,13.0,458.0,0.0,460,20,13,25,10,0
313152,31x31,0.05,sparse0.05,2,DFS,1,70,1.0,0.2331,110.0,128.0,20.0,110.0,0.0,460,20,13,25,10,0
313152,31x31,0.05,sparse0.05,2,JPS,1,70,1.0,1.3483,87.0,87.0,87.0,87.0,0.0,460,20,13,25,10,0
313200,31x31,0.1,sparse0.10,0,A*,1,76,1.0,0.6199,248.0,268.0,21.0,248.0,0.0,484,1,1,29,29,1
313200,31x31,0.1,sparse0.10,0,Dijkstra,1,76,1.0,0.9376,459.0,465.0,17.0,459.0,0.0,484,1,1,29,29,1
313200,31x31,0.1,sparse0.10,0,DFS,1,124,1.631578947368421,0.3015,149.0,193.0,45.0,149.0,0.0,484,1,1,29,29,1
313200,31x31,0.1,sparse0.10,0,JPS,1,76,1.0,1.0422,79.0,79.0,79.0,79.0,0.0,484,1,1,29,29,1
313200,31x31,0.1,sparse0.10,1,A*,1,54,1.0,0.4509,168.0,177.0,14.0,168.0,0.0,484,3,9,5,21,0
313200,31x31,0.1,sparse0.10,1,Dijkstra,1,54,1.0,0.7796,356.0,367.0,17.0,356.0,0.0,484,3,9,5,21,0
313200,31x31,0.1,sparse0.10,1,DFS,1,202,3.740740740740741,0.6619,305.0,366.0,65.0,305.0,0.0,484,3,9,5,21,0
313200,31x31,0.1,sparse0.10,1,JPS,1,54,1.0,1.772,179.0,179.0,179.0,179.0,0.0,484,3,9,5,21,0
313200,31x31,0.1,sparse0.10,2,A*,1,49,1.0,0.3602,151.0,170.0,20.0,151.0,0.0,484,29,18,21,17,0
313200,31x31,0.1,sparse0.10,2,Dijkstra,1,49,1.0,0.7879,336.0,356.0,22.0,336.0,0.0,484,29,18,21,17,0
313200,31x31,0.1,sparse0.10,2,DFS,1,67,1.3673469387755102,0.2006,94.0,111.0,18.0,94.0,0.0,484,29,18,21,17,0
313200,31x31,0.1,sparse0.10,2,JPS,1,49,1.0,1.1376,100.0,100.0,100.0,100.0,0.0,484,29,18,21,17,0
313201,31x31,0.1,sparse0.10,0,A*,1,68,1.0,0.4886,186.0,198.0,14.0,186.0,0.0,491,1,1,29,29,1
313201,31x31,0.1,sparse0.10,0,Dijkstra,1,68,1.0,0.6859,323.0,329.0,15.0,323.0,0.0,491,1,1,29,29,1
313201,31x31,0.1,sparse0.10,0,DFS,1,112,1.6470588235294117,0.5248,264.0,305.0,55.0,264.0,0.0,491,1,1,29,29,1
313201,31x31,0.1,sparse0.10,0,JPS,1,68,1.0,0.419,12.0,12.0,12.0,12.0,0.0,491,1,1,29,29,1
313201,31x31,0.1,sparse0.10,1,A*,1,22,1.0,0.2375,82.0,93.0,17.0,82.0,0.0,491,17,15,27,7,0
313201,31x31,0.1,sparse0.10,1,Dijkstra,1,22,1.0,0.5153,228.0,240.0,22.0,228.0,0.0,491,17,15,27,7,0
313201,31x31,0.1,sparse0.10,1,DFS,1,54,2.4545454545454546,0.1565,73.0,93.0,21.0,73.0,0.0,491,17,15,27,7,0
313201,31x31,0.1,sparse0.10,1,JPS,1,22,1.0,0.3663,26.0,26.0,26.0,26.0,0.0,491,17,15,27,7,0
313201,31x31,0.1,sparse0.10,2,A*,1,42,1.0,0.4127,167.0,175.0,12.0,167.0,0.0,491,9,25,5,21,0
313201,31x31,0.1,sparse0.10,2,Dijkstra,1,42,1.0,0.6514,309.0,318.0,15.0,309.0,0.0,491,9,25,5,21,0
313201,31x31,0.1,sparse0.10,2,DFS,1,48,1.1428571428571428,0.8057,434.0,448.0,50.0,434.0,0.0,491,9,25,5,21,0
313201,31x31,0.1,sparse0.10,2,JPS,1,42,1.0,0.4032,11.0,11.0,11.0,11.0,0.0,491,9,25,5,21,0
313202,31x31,0.1,sparse0.10,0,A*,1,84,1.0,0.5825,220.0,233.0,14.0,220.0,0.0,495,1,1,29,29,1
313202,31x31,0.1,sparse0.10,0,Dijkstra,1,84,1.0,0.8465,385.0,394.0,16.0,385.0,0.0,495,1,1,29,29,1
313202,31x31,0.1,sparse0.10,0,DFS,1,94,1.119047619047619,0.302,145.0,180.0,38.0,145.0,0.0,495,1,1,29,29,1
313202,31x31,0.1,sparse0.10,0,JPS,1,84,1.0,0.4758,5.0,5.0,5.0,5.0,0.0,495,1,1,29,29,1
313202,31x31,0.1,sparse0.10,1,A*,1,70,1.0,0.7882,328.0,337.0,18.0,328.0,0.0,495,25,3,11,11,0
313202,31x31,0.1,sparse0.10,1,Dijkstra,1,70,1.0,0.8498,415.0,417.0,13.0,415.0,0.0,495,25,3,11,11,0
313202,31x31,0.1,sparse0.10,1,DFS,1,110,1.5714285714285714,0.6066,301.0,341.0,42.0,301.0,0.0,495,25,3,11,11,0
313202,31x31,0.1,sparse0.10,1,JPS,1,70,1.0,1.6858,164.0,164.0,164.0,164.0,0.0,495,25,3,11,11,0
313202,31x31,0.1,sparse0.10,2,A*,1,79,1.0,0.604,218.0,229.0,12.0,218.0,0.0,495,7,4,25,7,0
313202,31x31,0.1,sparse0.10,2,Dijkstra,1,79,1.0,0.8358,400.0,409.0,16.0,400.0,0.0,495,7,4,25,7,0
313202,31x31,0.1,sparse0.10,2,DFS,1,121,1.5316455696202531,0.7225,345.0,388.0,57.0,345.0,0.0,495,7,4,25,7,0
313202,31x31,0.1,sparse0.10,2,JPS,1,79,1.0,0.5084,6.0,6.0,6.0,6.0,0.0,495,7,4,25,7,0
616100,61x61,0.0,dense,0,A*,1,412,1.0,2.8534,1105.0,1113.0,13.0,1105.0,0.0,1799,1,1,59,59,1
616100,61x61,0.0,dense,0,Dijkstra,1,412,1.0,3.2301,1535.0,1541.0,14.0,1535.0,0.008192,1799,1,1,59,59,1
616100,61x61,0.0,dense,0,DFS,1,412,1.0,1.6288,727.0,855.0,130.0,727.0,0.0,1799,1,1,59,59,1
616100,61x61,0.0,dense,0,JPS,1,412,1.0,4.259,217.0,217.0,217.0,217.0,0.0,1799,1,1,59,59,1
616100,61x61,0.0,dense,1,A*,1,255,1.0,2.7717,1231.0,1241.0,18.0,1231.0,0.0,1799,3,47,46,21,0
