timestamp,algorithm,grid_size,runtime,path_length,cost
2025-11-08T16:18:03,A*,21,0.000320,93,
2025-11-08T16:18:03,Dijkstra,21,0.000235,93,
2025-11-08T16:18:03,DFS,21,0.000206,93,
2025-11-08T16:18:03,JPS,21,0.000389,39,
