seed,size,p,map_type,sg_id,algo,success,edges,suboptimality,runtime_ms,expanded,generated,peak_frontier,peak_closed,peak_rss_mb,free,start_y,start_x,end_y,end_x,is_corner
313102,31x31,0.0,dense,2,DFS,1,56,1.0,0.1189,114.0,135.0,24.0,114.0,0.0,449,28,23,2,17,0
313102,31x31,0.0,dense,2,JPS,0,0,,0.4568,46.0,,,46.0,0.0,449,28,23,2,17,0
313150,31x31,0.05,sparse0.05,0,A*,1,92,1.0,0.5489,375.0,389.0,17.0,375.0,0.0,463,1,1,29,29,1
313150,31x31,0.05,sparse0.05,0,Dijkstra,1,92,1.0,0.5767,451.0,453.0,11.0,451.0,0.0,463,1,1,29,29,1
313150,31x31,0.05,sparse0.05,0,DFS,1,116,1.2608695652173914,0.1836,168.0,209.0,42.0,168.0,0.0,463,1,1,29,29,1
313150,31x31,0.05,sparse0.05,0,JPS,0,0,,1.2468,65.0,,,65.0,0.0,463,1,1,29,29,1
313150,31x31,0.05,sparse0.05,1,A*,1,118,1.0,0.6488,446.0,450.0,12.0,446.0,0.0,463,20,9,25,28,0
313150,31x31,0.05,sparse0.05,1,Dijkstra,1,118,1.0,0.5639,456.0,457.0,11.0,456.0,0.0,463,20,9,25,28,0
313150,31x31,0.05,sparse0.05,1,DFS,1,150,1.271186440677966,0.2643,219.0,262.0,44.0,219.0,0.0,463,20,9,25,28,0
313150,31x31,0.05,sparse0.05,1,JPS,0,0,,1.2853,62.0,,,62.0,0.0,463,20,9,25,28,0
313150,31x31,0.05,sparse0.05,2,A*,1,40,1.0,0.1432,74.0,89.0,16.0,74.0,0.0,463,11,19,29,1,0
313150,31x31,0.05,sparse0.05,2,Dijkstra,1,40,1.0,0.3825,278.0,282.0,15.0,278.0,0.0,463,11,19,29,1,0
313150,31x31,0.05,sparse0.05,2,DFS,1,40,1.0,0.07,58.0,63.0,7.0,58.0,0.0,463,11,19,29,1,0
313150,31x31,0.05,sparse0.05,2,JPS,0,0,,0.2617,28.0,,,28.0,0.0,463,11,19,29,1,0
313151,31x31,0.05,sparse0.05,0,A*,1,88,1.0,0.4922,308.0,321.0,19.0,308.0,0.0,468,1,1,29,29,1
313151,31x31,0.05,sparse0.05,0,Dijkstra,1,88,1.0,0.5885,444.0,450.0,12.0,444.0,0.0,468,1,1,29,29,1
313151,31x31,0.05,sparse0.05,0,DFS,1,92,1.0454545454545454,0.2845,251.0,280.0,40.0,251.0,0.0,468,1,1,29,29,1
313151,31x31,0.05,sparse0.05,0,JPS,0,0,,0.6862,75.0,,,75.0,0.0,468,1,1,29,29,1
313151,31x31,0.05,sparse0.05,1,A*,1,49,1.0,0.3027,194.0,210.0,17.0,194.0,0.0,468,25,11,28,29,0
313151,31x31,0.05,sparse0.05,1,Dijkstra,1,49,1.0,0.5629,437.0,443.0,16.0,437.0,0.0,468,25,11,28,29,0
313151,31x31,0.05,sparse0.05,1,DFS,1,49,1.0,0.2007,183.0,201.0,29.0,183.0,0.0,468,25,11,28,29,0
313151,31x31,0.05,sparse0.05,1,JPS,0,0,,0.7889,70.0,,,70.0,0.0,468,25,11,28,29,0
